k,run,Nt
50000,0,47940.4
100000,0,95400.1
150000,0,142472
200000,0,189326
250000,0,236194
300000,0,282992
350000,0,329592
399999,0,376176
449999,0,422546
499999,0,469246
549999,0,516020
600000,0,562594
650000,0,608860
700000,0,655170
750000,0,701457
800000,0,748033
850000,0,794572
900000,0,841467
950000,0,887830
1000000,0,934377
50000,1,48076.5
100000,1,95679.4
150000,1,142965
200000,1,190129
250000,1,236938
300000,1,283778
350000,1,330507
399999,1,377192
449999,1,423597
499999,1,470342
549999,1,516837
600000,1,563340
650000,1,609913
700000,1,656271
750000,1,702818
800000,1,749366
850000,1,795708
900000,1,841945
950000,1,887961
1000000,1,934565
50000,2,48090.1
100000,2,95456
150000,2,142746
200000,2,189726
250000,2,236758
300000,2,283580
350000,2,330084
399999,2,376822
449999,2,423471
499999,2,470183
549999,2,516688
600000,2,563460
650000,2,609867
700000,2,656181
750000,2,702799
800000,2,749383
850000,2,795808
900000,2,842027
950000,2,888374
1000000,2,934831
50000,3,48166.5
100000,3,95733.1
150000,3,142980
200000,3,189986
250000,3,236759
300000,3,283195
350000,3,330074
399999,3,376430
449999,3,423148
499999,3,469617
549999,3,516200
600000,3,562777
650000,3,609584
700000,3,656402
750000,3,702795
800000,3,749125
850000,3,795776
900000,3,841728
950000,3,888292
1000000,3,934741
50000,4,48087
100000,4,95574.3
150000,4,142953
200000,4,189809
250000,4,236617
300000,4,283415
350000,4,329960
399999,4,376647
449999,4,423365
499999,4,469956
549999,4,516457
600000,4,562787
650000,4,609253
700000,4,655925
750000,4,702429
800000,4,749421
850000,4,796242
900000,4,842806
950000,4,889387
1000000,4,935419
50000,5,48118.4
100000,5,95651
150000,5,142788
200000,5,189769
250000,5,236535
300000,5,283284
350000,5,329813
399999,5,376431
449999,5,422738
499999,5,469119
549999,5,515711
600000,5,562230
650000,5,608683
700000,5,655142
750000,5,701365
800000,5,748333
850000,5,794766
900000,5,841465
950000,5,888033
1000000,5,934377
50000,6,47977
100000,6,95537
150000,6,142653
200000,6,189651
250000,6,236362
300000,6,283145
350000,6,329796
399999,6,376558
449999,6,423226
499999,6,469584
549999,6,516426
600000,6,562893
650000,6,609480
700000,6,655809
750000,6,702289
800000,6,748996
850000,6,795328
900000,6,841998
950000,6,888934
1000000,6,935255
50000,7,48078.6
100000,7,95597.3
150000,7,142661
200000,7,189738
250000,7,236620
300000,7,283403
350000,7,330117
399999,7,376843
449999,7,423689
499999,7,470046
549999,7,516290
600000,7,562897
650000,7,609545
700000,7,655959
750000,7,702461
800000,7,748817
850000,7,795010
900000,7,841264
950000,7,887760
1000000,7,934085
50000,8,48053.5
100000,8,95644.4
150000,8,142754
200000,8,189882
250000,8,236629
300000,8,283395
350000,8,329858
399999,8,376540
449999,8,423164
499999,8,469820
549999,8,516210
600000,8,562770
650000,8,609391
700000,8,655966
750000,8,702676
800000,8,749362
850000,8,795708
900000,8,841998
950000,8,888407
1000000,8,935014
50000,9,48063.9
100000,9,95683.8
150000,9,142872
200000,9,190145
250000,9,236942
300000,9,283904
350000,9,330611
399999,9,377229
449999,9,423822
499999,9,470310
549999,9,516930
600000,9,563638
650000,9,610239
700000,9,657066
750000,9,703610
800000,9,749879
850000,9,796411
900000,9,842985
950000,9,889149
1000000,9,935199
50000,10,48068.1
100000,10,95587.4
150000,10,142808
200000,10,189696
250000,10,236436
300000,10,283239
350000,10,329877
399999,10,376567
449999,10,423097
499999,10,469887
549999,10,516570
600000,10,563342
650000,10,610028
700000,10,656635
750000,10,703110
800000,10,749556
850000,10,796079
900000,10,842737
950000,10,889107
1000000,10,935885
50000,11,48065
100000,11,95660.8
150000,11,142877
200000,11,189938
250000,11,236625
300000,11,283396
350000,11,330115
399999,11,376825
449999,11,423509
499999,11,469975
549999,11,516635
600000,11,562828
650000,11,609402
700000,11,655661
750000,11,701923
800000,11,748713
850000,11,795370
900000,11,841619
950000,11,887917
1000000,11,934275
50000,12,48160.2
100000,12,95750.6
150000,12,142927
200000,12,190059
250000,12,237120
300000,12,283790
350000,12,330585
399999,12,377043
449999,12,423414
499999,12,469988
549999,12,516940
600000,12,563237
650000,12,609677
700000,12,656490
750000,12,703199
800000,12,749865
850000,12,796041
900000,12,842306
950000,12,888715
1000000,12,935375
50000,13,48180.1
100000,13,95737.5
150000,13,143145
200000,13,190146
250000,13,236953
300000,13,283689
350000,13,330259
399999,13,376927
449999,13,423416
499999,13,470021
549999,13,516897
600000,13,563389
650000,13,609965
700000,13,656678
750000,13,703092
800000,13,749961
850000,13,796485
900000,13,843235
950000,13,889677
1000000,13,935997
50000,14,48048.2
100000,14,95569.9
150000,14,142742
200000,14,189832
250000,14,236780
300000,14,283510
350000,14,330059
399999,14,376626
449999,14,423417
499999,14,470252
549999,14,517038
600000,14,563663
650000,14,609913
700000,14,656598
750000,14,702924
800000,14,749779
850000,14,796355
900000,14,842331
950000,14,888969
1000000,14,935687
50000,15,48047.2
100000,15,95723.3
150000,15,142840
200000,15,189882
250000,15,236684
300000,15,283550
350000,15,330229
399999,15,376682
449999,15,423353
499999,15,469815
549999,15,516244
600000,15,562950
650000,15,609795
700000,15,656250
750000,15,702848
800000,15,749665
850000,15,796415
900000,15,842885
950000,15,889109
1000000,15,935243
50000,16,48059.7
100000,16,95757.2
150000,16,142808
200000,16,189904
250000,16,236560
300000,16,283428
350000,16,330045
399999,16,376667
449999,16,423024
499999,16,469399
549999,16,515821
600000,16,562387
650000,16,608708
700000,16,655428
750000,16,701650
800000,16,748663
850000,16,795449
900000,16,841994
950000,16,888740
1000000,16,935382
50000,17,48093.2
100000,17,95621.4
150000,17,142816
200000,17,189908
250000,17,236654
300000,17,283324
350000,17,329988
399999,17,376748
449999,17,423202
499999,17,469949
549999,17,516665
600000,17,563420
650000,17,610350
700000,17,656830
750000,17,703182
800000,17,749166
850000,17,795785
900000,17,842545
950000,17,889130
1000000,17,935543
50000,18,48133
100000,18,95718.9
150000,18,142803
200000,18,189786
250000,18,236583
300000,18,283204
350000,18,329911
399999,18,376485
449999,18,423338
499999,18,469931
549999,18,516447
600000,18,563054
650000,18,609325
700000,18,655714
750000,18,701976
800000,18,748545
850000,18,794967
900000,18,841333
950000,18,887770
1000000,18,933919
50000,19,47977
100000,19,95495.4
150000,19,142699
200000,19,189736
250000,19,236639
300000,19,283381
350000,19,330269
399999,19,376654
449999,19,423193
499999,19,469668
549999,19,515996
600000,19,562705
650000,19,609244
700000,19,655669
750000,19,701681
800000,19,748035
850000,19,793836
900000,19,840501
950000,19,887196
1000000,19,933254
50000,20,48082.8
100000,20,95669.6
150000,20,142925
200000,20,189881
250000,20,236728
300000,20,283406
350000,20,330085
399999,20,376690
449999,20,423084
499999,20,469804
549999,20,516329
600000,20,562962
650000,20,609264
700000,20,655852
750000,20,702128
800000,20,748778
850000,20,795661
900000,20,842136
950000,20,888640
1000000,20,935458
50000,21,48171.8
100000,21,95740.8
150000,21,142910
200000,21,189762
250000,21,236494
300000,21,283225
350000,21,330082
399999,21,376822
449999,21,423425
499999,21,470219
549999,21,516192
600000,21,562801
650000,21,609597
700000,21,655945
750000,21,702392
800000,21,749143
850000,21,795825
900000,21,842139
950000,21,888703
1000000,21,935260
50000,22,48080.7
100000,22,95571
150000,22,142807
200000,22,189738
250000,22,236575
300000,22,283412
350000,22,329819
399999,22,376414
449999,22,422947
499999,22,469527
549999,22,516184
600000,22,562989
650000,22,609704
700000,22,656187
750000,22,702990
800000,22,749712
850000,22,796156
900000,22,842375
950000,22,888299
1000000,22,935243
50000,23,48026.2
100000,23,95569.9
150000,23,142620
200000,23,189766
250000,23,236656
300000,23,283715
350000,23,330271
399999,23,376805
449999,23,423389
499999,23,469737
549999,23,516554
600000,23,562770
650000,23,609613
700000,23,655895
750000,23,702363
800000,23,748974
850000,23,795349
900000,23,841779
950000,23,888299
1000000,23,934633
50000,24,48055.5
100000,24,95565.5
150000,24,142834
200000,24,189683
250000,24,236498
300000,24,283377
350000,24,330191
399999,24,376962
449999,24,423814
499999,24,470371
549999,24,516899
600000,24,563513
650000,24,610309
700000,24,656577
750000,24,703123
800000,24,750096
850000,24,796877
900000,24,843213
950000,24,889431
1000000,24,935741
50000,25,48179.1
100000,25,95759.4
150000,25,142963
200000,25,189997
250000,25,236877
300000,25,283704
350000,25,330702
399999,25,377462
449999,25,424077
499999,25,470910
549999,25,517389
600000,25,564069
650000,25,610876
700000,25,657507
750000,25,703876
800000,25,750376
850000,25,796971
900000,25,843680
950000,25,890219
1000000,25,936566
50000,26,48099.5
100000,26,95603.8
150000,26,142830
200000,26,189835
250000,26,236696
300000,26,283483
350000,26,330048
399999,26,376769
449999,26,423636
499999,26,470021
549999,26,516662
600000,26,563543
650000,26,609983
700000,26,656424
750000,26,702805
800000,26,749560
850000,26,796071
900000,26,842592
950000,26,889674
1000000,26,936114
50000,27,48098.5
100000,27,95693.7
150000,27,142833
200000,27,190047
250000,27,236952
300000,27,283766
350000,27,330447
399999,27,377162
449999,27,423786
499999,27,470556
549999,27,517151
600000,27,563679
650000,27,610207
700000,27,656750
750000,27,703088
800000,27,749697
850000,27,796308
900000,27,843148
950000,27,889273
1000000,27,935565
50000,28,48113.1
100000,28,95532.6
150000,28,142745
200000,28,189956
250000,28,236860
300000,28,283698
350000,28,330481
399999,28,376987
449999,28,423438
499999,28,470071
549999,28,516976
600000,28,563734
650000,28,610414
700000,28,656701
750000,28,703221
800000,28,749936
850000,28,796385
900000,28,842433
950000,28,888794
1000000,28,935787
50000,29,48082.8
100000,29,95606
150000,29,142983
200000,29,189936
250000,29,236676
300000,29,283427
350000,29,329930
399999,29,376526
449999,29,423109
499999,29,469768
549999,29,516100
600000,29,562686
650000,29,609171
700000,29,655790
750000,29,702363
800000,29,748898
850000,29,795261
900000,29,842003
950000,29,888540
1000000,29,934975
